code_region,region,rang_vaccinal,date_debut_semaine,nb
84,ARA,1,2021-01-18,5569
84,ARA,2,2021-01-18,1
84,ARA,1,2021-01-25,5584
84,ARA,2,2021-01-25,546
84,ARA,1,2021-02-01,2935
84,ARA,2,2021-02-01,2079
84,ARA,1,2021-02-08,3158
84,ARA,2,2021-02-08,2453
84,ARA,1,2021-02-15,1667
84,ARA,2,2021-02-15,4814
84,ARA,1,2021-02-22,1446
84,ARA,2,2021-02-22,5386
84,ARA,1,2021-03-01,4498
84,ARA,2,2021-03-01,2539
84,ARA,1,2021-03-08,5455
84,ARA,2,2021-03-08,1779
84,ARA,1,2021-03-15,62902
84,ARA,2,2021-03-15,9427
84,ARA,1,2021-03-22,108913
84,ARA,2,2021-03-22,20721
84,ARA,1,2021-03-29,105995
84,ARA,2,2021-03-29,48124
84,ARA,1,2021-04-05,120730
84,ARA,2,2021-04-05,56536
84,ARA,1,2021-04-12,134401
84,ARA,2,2021-04-12,88876
84,ARA,1,2021-04-19,134972
84,ARA,2,2021-04-19,102102
84,ARA,1,2021-04-26,152160
84,ARA,2,2021-04-26,101954
84,ARA,1,2021-05-03,203085
84,ARA,2,2021-05-03,124942
84,ARA,1,2021-05-10,293348
84,ARA,2,2021-05-10,100472
84,ARA,1,2021-05-17,318112
84,ARA,2,2021-05-17,74398
84,ARA,1,2021-05-24,274703
84,ARA,2,2021-05-24,85766
84,ARA,1,2021-05-31,258663
84,ARA,2,2021-05-31,104558
84,ARA,1,2021-06-07,205122
84,ARA,2,2021-06-07,132323
84,ARA,1,2021-06-14,155784
84,ARA,2,2021-06-14,203917
84,ARA,1,2021-06-21,107975
84,ARA,2,2021-06-21,289480
84,ARA,1,2021-06-28,106260
84,ARA,2,2021-06-28,300571
84,ARA,1,2021-07-05,120404
84,ARA,2,2021-07-05,275327
84,ARA,1,2021-07-12,158630
84,ARA,2,2021-07-12,262233
84,ARA,1,2021-07-19,166948
84,ARA,2,2021-07-19,223213
84,ARA,1,2021-07-26,127088
84,ARA,2,2021-07-26,150895
84,ARA,1,2021-08-02,56786
84,ARA,2,2021-08-02,127836
84,ARA,1,2021-08-09,20075
84,ARA,2,2021-08-09,123512
27,BFC,1,2021-01-18,570
27,BFC,1,2021-01-25,510
27,BFC,2,2021-01-25,38
27,BFC,1,2021-02-01,334
27,BFC,2,2021-02-01,184
27,BFC,1,2021-02-08,463
27,BFC,2,2021-02-08,84
27,BFC,1,2021-02-15,184
27,BFC,2,2021-02-15,220
27,BFC,1,2021-02-22,23
27,BFC,2,2021-02-22,21
27,BFC,2,2021-03-01,12
27,BFC,1,2021-03-08,1
27,BFC,2,2021-03-08,352
27,BFC,1,2021-03-15,21446
27,BFC,2,2021-03-15,2299
27,BFC,1,2021-03-22,48887
27,BFC,2,2021-03-22,3410
27,BFC,1,2021-03-29,40241
27,BFC,2,2021-03-29,17434
27,BFC,1,2021-04-05,33089
27,BFC,2,2021-04-05,21633
27,BFC,1,2021-04-12,36633
27,BFC,2,2021-04-12,33894
27,BFC,1,2021-04-19,33413
27,BFC,2,2021-04-19,48103
27,BFC,1,2021-04-26,60243
27,BFC,2,2021-04-26,37667
27,BFC,1,2021-05-03,69037
27,BFC,2,2021-05-03,35504
27,BFC,1,2021-05-10,92158
27,BFC,2,2021-05-10,31730
27,BFC,1,2021-05-17,98320
27,BFC,2,2021-05-17,21914
27,BFC,1,2021-05-24,61826
27,BFC,2,2021-05-24,28116
27,BFC,1,2021-05-31,68821
27,BFC,2,2021-05-31,36508
27,BFC,1,2021-06-07,84421
27,BFC,2,2021-06-07,48856
27,BFC,1,2021-06-14,62226
27,BFC,2,2021-06-14,60301
27,BFC,1,2021-06-21,42616
27,BFC,2,2021-06-21,91248
27,BFC,1,2021-06-28,37510
27,BFC,2,2021-06-28,87977
27,BFC,1,2021-07-05,40445
27,BFC,2,2021-07-05,71047
27,BFC,1,2021-07-12,44219
27,BFC,2,2021-07-12,79528
27,BFC,1,2021-07-19,40988
27,BFC,2,2021-07-19,94964
27,BFC,1,2021-07-26,35547
27,BFC,2,2021-07-26,63903
27,BFC,1,2021-08-02,17269
27,BFC,2,2021-08-02,46924
27,BFC,1,2021-08-09,5977
27,BFC,2,2021-08-09,36747
53,BRE,1,2021-01-18,78
53,BRE,1,2021-01-25,400
53,BRE,1,2021-02-01,360
53,BRE,1,2021-02-08,432
53,BRE,1,2021-02-15,236
53,BRE,2,2021-02-15,102
53,BRE,1,2021-02-22,508
53,BRE,2,2021-02-22,377
53,BRE,1,2021-03-01,361
53,BRE,2,2021-03-01,354
53,BRE,1,2021-03-08,347
53,BRE,2,2021-03-08,439
53,BRE,1,2021-03-15,22225
53,BRE,2,2021-03-15,6273
53,BRE,1,2021-03-22,39891
53,BRE,2,2021-03-22,11910
53,BRE,1,2021-03-29,46535
53,BRE,2,2021-03-29,18762
53,BRE,1,2021-04-05,52687
53,BRE,2,2021-04-05,21670
53,BRE,1,2021-04-12,66445
53,BRE,2,2021-04-12,33608
53,BRE,1,2021-04-19,69344
53,BRE,2,2021-04-19,40644
53,BRE,1,2021-04-26,84449
53,BRE,2,2021-04-26,45593
53,BRE,1,2021-05-03,70222
53,BRE,2,2021-05-03,54669
53,BRE,1,2021-05-10,87412
53,BRE,2,2021-05-10,54154
53,BRE,1,2021-05-17,106464
53,BRE,2,2021-05-17,40772
53,BRE,1,2021-05-24,96373
53,BRE,2,2021-05-24,40415
53,BRE,1,2021-05-31,110888
53,BRE,2,2021-05-31,50165
53,BRE,1,2021-06-07,121999
53,BRE,2,2021-06-07,63882
53,BRE,1,2021-06-14,98889
53,BRE,2,2021-06-14,71888
53,BRE,1,2021-06-21,78195
53,BRE,2,2021-06-21,95609
53,BRE,1,2021-06-28,59802
53,BRE,2,2021-06-28,112135
53,BRE,1,2021-07-05,53708
53,BRE,2,2021-07-05,112933
53,BRE,1,2021-07-12,55561
53,BRE,2,2021-07-12,116933
53,BRE,1,2021-07-19,49722
53,BRE,2,2021-07-19,130476
53,BRE,1,2021-07-26,48585
53,BRE,2,2021-07-26,104859
53,BRE,1,2021-08-02,21641
53,BRE,2,2021-08-02,72733
53,BRE,1,2021-08-09,7326
53,BRE,2,2021-08-09,50563
94,COR,1,2021-01-18,1823
94,COR,2,2021-01-18,5
94,COR,1,2021-01-25,1384
94,COR,2,2021-01-25,350
94,COR,1,2021-02-01,1105
94,COR,2,2021-02-01,674
94,COR,1,2021-02-08,800
94,COR,2,2021-02-08,1359
94,COR,1,2021-02-15,245
94,COR,2,2021-02-15,1151
94,COR,1,2021-02-22,1517
94,COR,2,2021-02-22,461
94,COR,1,2021-03-01,971
94,COR,2,2021-03-01,933
94,COR,1,2021-03-08,1162
94,COR,2,2021-03-08,818
94,COR,1,2021-03-15,4337
94,COR,2,2021-03-15,2477
94,COR,1,2021-03-22,6906
94,COR,2,2021-03-22,2021
94,COR,1,2021-03-29,6596
94,COR,2,2021-03-29,4430
94,COR,1,2021-04-05,7632
94,COR,2,2021-04-05,4606
94,COR,1,2021-04-12,7202
94,COR,2,2021-04-12,5796
94,COR,1,2021-04-19,6922
94,COR,2,2021-04-19,6560
94,COR,1,2021-04-26,7496
94,COR,2,2021-04-26,6971
94,COR,1,2021-05-03,7992
94,COR,2,2021-05-03,8228
94,COR,1,2021-05-10,7321
94,COR,2,2021-05-10,5576
94,COR,1,2021-05-17,6826
94,COR,2,2021-05-17,3406
94,COR,1,2021-05-24,3087
94,COR,2,2021-05-24,4957
94,COR,1,2021-05-31,2481
94,COR,2,2021-05-31,7088
94,COR,1,2021-06-07,2263
94,COR,2,2021-06-07,7483
94,COR,1,2021-06-14,2026
94,COR,2,2021-06-14,7134
94,COR,1,2021-06-21,1544
94,COR,2,2021-06-21,7022
94,COR,1,2021-06-28,1698
94,COR,2,2021-06-28,5653
94,COR,1,2021-07-05,2370
94,COR,2,2021-07-05,3418
94,COR,1,2021-07-12,5502
94,COR,2,2021-07-12,3356
94,COR,1,2021-07-19,3588
94,COR,2,2021-07-19,3329
94,COR,1,2021-07-26,2309
94,COR,2,2021-07-26,2943
94,COR,1,2021-08-02,1627
94,COR,2,2021-08-02,3877
94,COR,1,2021-08-09,938
94,COR,2,2021-08-09,3403
24,CVL,1,2021-03-01,1
24,CVL,1,2021-03-08,70
24,CVL,1,2021-03-15,13596
24,CVL,2,2021-03-15,5652
24,CVL,1,2021-03-22,27944
24,CVL,2,2021-03-22,8486
24,CVL,1,2021-03-29,30572
24,CVL,2,2021-03-29,11612
24,CVL,1,2021-04-05,38969
24,CVL,2,2021-04-05,15587
24,CVL,1,2021-04-12,51007
24,CVL,2,2021-04-12,20076
24,CVL,1,2021-04-19,54223
24,CVL,2,2021-04-19,26640
24,CVL,1,2021-04-26,56730
24,CVL,2,2021-04-26,28191
24,CVL,1,2021-05-03,56663
24,CVL,2,2021-05-03,41756
24,CVL,1,2021-05-10,65470
24,CVL,2,2021-05-10,43408
24,CVL,1,2021-05-17,86392
24,CVL,2,2021-05-17,26920
24,CVL,1,2021-05-24,86758
24,CVL,2,2021-05-24,25092
24,CVL,1,2021-05-31,81950
24,CVL,2,2021-05-31,38934
24,CVL,1,2021-06-07,75041
24,CVL,2,2021-06-07,47972
24,CVL,1,2021-06-14,57064
24,CVL,2,2021-06-14,61301
24,CVL,1,2021-06-21,42541
24,CVL,2,2021-06-21,70354
24,CVL,1,2021-06-28,33863
24,CVL,2,2021-06-28,89743
24,CVL,1,2021-07-05,34822
24,CVL,2,2021-07-05,93940
24,CVL,1,2021-07-12,29462
24,CVL,2,2021-07-12,93208
24,CVL,1,2021-07-19,37198
24,CVL,2,2021-07-19,87796
24,CVL,1,2021-07-26,38080
24,CVL,2,2021-07-26,58953
24,CVL,1,2021-08-02,14720
24,CVL,2,2021-08-02,34482
24,CVL,1,2021-08-09,3741
24,CVL,2,2021-08-09,28918
01,GDP,1,2021-01-18,144
01,GDP,1,2021-01-25,107
01,GDP,1,2021-02-01,43
01,GDP,2,2021-02-01,79
01,GDP,1,2021-02-08,51
01,GDP,2,2021-02-08,142
01,GDP,1,2021-02-15,43
01,GDP,2,2021-02-15,13
01,GDP,1,2021-02-22,67
01,GDP,2,2021-02-22,59
01,GDP,1,2021-03-01,101
01,GDP,2,2021-03-01,98
01,GDP,1,2021-03-08,130
01,GDP,2,2021-03-08,106
01,GDP,1,2021-03-15,1197
01,GDP,2,2021-03-15,526
01,GDP,1,2021-03-22,1282
01,GDP,2,2021-03-22,1189
01,GDP,1,2021-03-29,1165
01,GDP,2,2021-03-29,1113
01,GDP,1,2021-04-05,1223
01,GDP,2,2021-04-05,1319
01,GDP,1,2021-04-12,1370
01,GDP,2,2021-04-12,2151
01,GDP,1,2021-04-19,1703
01,GDP,2,2021-04-19,1975
01,GDP,1,2021-04-26,2021
01,GDP,2,2021-04-26,1475
01,GDP,1,2021-05-03,1940
01,GDP,2,2021-05-03,1591
01,GDP,1,2021-05-10,1525
01,GDP,2,2021-05-10,1512
01,GDP,1,2021-05-17,1422
01,GDP,2,2021-05-17,1299
01,GDP,1,2021-05-24,615
01,GDP,2,2021-05-24,935
01,GDP,1,2021-05-31,958
01,GDP,2,2021-05-31,1490
01,GDP,1,2021-06-07,793
01,GDP,2,2021-06-07,1724
01,GDP,1,2021-06-14,680
01,GDP,2,2021-06-14,1660
01,GDP,1,2021-06-21,679
01,GDP,2,2021-06-21,1243
01,GDP,1,2021-06-28,705
01,GDP,2,2021-06-28,1129
01,GDP,1,2021-07-05,748
01,GDP,2,2021-07-05,1137
01,GDP,1,2021-07-12,878
01,GDP,2,2021-07-12,1280
01,GDP,1,2021-07-19,479
01,GDP,2,2021-07-19,1062
01,GDP,1,2021-07-26,242
01,GDP,2,2021-07-26,798
01,GDP,1,2021-08-02,131
01,GDP,2,2021-08-02,624
01,GDP,1,2021-08-09,80
01,GDP,2,2021-08-09,400
44,GES,1,2021-01-18,284
44,GES,1,2021-01-25,439
44,GES,2,2021-01-25,352
44,GES,1,2021-02-01,95
44,GES,2,2021-02-01,239
44,GES,1,2021-02-08,65
44,GES,2,2021-02-08,564
44,GES,1,2021-02-15,114
44,GES,2,2021-02-15,227
44,GES,1,2021-02-22,121
44,GES,2,2021-02-22,223
44,GES,1,2021-03-01,33
44,GES,2,2021-03-01,92
44,GES,1,2021-03-08,306
44,GES,2,2021-03-08,87
44,GES,1,2021-03-15,47798
44,GES,2,2021-03-15,9044
44,GES,1,2021-03-22,67426
44,GES,2,2021-03-22,21231
44,GES,1,2021-03-29,60419
44,GES,2,2021-03-29,39018
44,GES,1,2021-04-05,64257
44,GES,2,2021-04-05,48703
44,GES,1,2021-04-12,84133
44,GES,2,2021-04-12,64414
44,GES,1,2021-04-19,93368
44,GES,2,2021-04-19,67775
44,GES,1,2021-04-26,110092
44,GES,2,2021-04-26,58402
44,GES,1,2021-05-03,153589
44,GES,2,2021-05-03,67884
44,GES,1,2021-05-10,185064
44,GES,2,2021-05-10,69947
44,GES,1,2021-05-17,188321
44,GES,2,2021-05-17,47047
44,GES,1,2021-05-24,156835
44,GES,2,2021-05-24,57854
44,GES,1,2021-05-31,152361
44,GES,2,2021-05-31,74652
44,GES,1,2021-06-07,155981
44,GES,2,2021-06-07,99763
44,GES,1,2021-06-14,107660
44,GES,2,2021-06-14,148656
44,GES,1,2021-06-21,78220
44,GES,2,2021-06-21,185908
44,GES,1,2021-06-28,67123
44,GES,2,2021-06-28,189249
44,GES,1,2021-07-05,70229
44,GES,2,2021-07-05,170454
44,GES,1,2021-07-12,80452
44,GES,2,2021-07-12,173587
44,GES,1,2021-07-19,86079
44,GES,2,2021-07-19,165026
44,GES,1,2021-07-26,78739
44,GES,2,2021-07-26,103941
44,GES,1,2021-08-02,39316
44,GES,2,2021-08-02,77972
44,GES,1,2021-08-09,8963
44,GES,2,2021-08-09,71028
03,GUY,1,2021-01-18,403
03,GUY,2,2021-01-18,17
03,GUY,1,2021-01-25,387
03,GUY,2,2021-01-25,8
03,GUY,1,2021-02-01,399
03,GUY,2,2021-02-01,42
03,GUY,1,2021-02-08,382
03,GUY,2,2021-02-08,245
03,GUY,1,2021-02-15,420
03,GUY,2,2021-02-15,441
03,GUY,1,2021-02-22,998
03,GUY,2,2021-02-22,434
03,GUY,1,2021-03-01,1317
03,GUY,2,2021-03-01,401
03,GUY,1,2021-03-08,1298
03,GUY,2,2021-03-08,463
03,GUY,1,2021-03-15,1200
03,GUY,2,2021-03-15,641
03,GUY,1,2021-03-22,812
03,GUY,2,2021-03-22,1200
03,GUY,1,2021-03-29,1125
03,GUY,2,2021-03-29,1482
03,GUY,1,2021-04-05,1905
03,GUY,2,2021-04-05,1325
03,GUY,1,2021-04-12,3410
03,GUY,2,2021-04-12,1547
03,GUY,1,2021-04-19,4144
03,GUY,2,2021-04-19,1280
03,GUY,1,2021-04-26,3597
03,GUY,2,2021-04-26,1745
03,GUY,1,2021-05-03,2539
03,GUY,2,2021-05-03,2262
03,GUY,1,2021-05-10,2006
03,GUY,2,2021-05-10,2646
03,GUY,1,2021-05-17,2249
03,GUY,2,2021-05-17,3043
03,GUY,1,2021-05-24,2642
03,GUY,2,2021-05-24,2775
03,GUY,1,2021-05-31,2346
03,GUY,2,2021-05-31,2141
03,GUY,1,2021-06-07,2010
03,GUY,2,2021-06-07,1978
03,GUY,1,2021-06-14,1826
03,GUY,2,2021-06-14,1966
03,GUY,1,2021-06-21,1614
03,GUY,2,2021-06-21,2070
03,GUY,1,2021-06-28,1548
03,GUY,2,2021-06-28,2041
03,GUY,1,2021-07-05,1496
03,GUY,2,2021-07-05,1825
03,GUY,1,2021-07-12,1899
03,GUY,2,2021-07-12,1743
03,GUY,1,2021-07-19,545
03,GUY,2,2021-07-19,1280
03,GUY,1,2021-07-26,112
03,GUY,2,2021-07-26,1147
03,GUY,1,2021-08-02,69
03,GUY,2,2021-08-02,1049
03,GUY,1,2021-08-09,35
03,GUY,2,2021-08-09,393
32,HDF,1,2021-01-18,1024
32,HDF,1,2021-01-25,517
32,HDF,2,2021-01-25,5
32,HDF,1,2021-02-01,269
32,HDF,2,2021-02-01,157
32,HDF,1,2021-02-08,672
32,HDF,2,2021-02-08,210
32,HDF,1,2021-02-15,904
32,HDF,2,2021-02-15,982
